Gmt time,Ask,Bid,AskVolume,BidVolume
07.04.2023 07:23:57.046,13053.311000000002,13049.858999999999,0.0004,0.0004
07.04.2023 07:23:57.155,13053.001000000002,13049.589,0.0004,0.0012
07.04.2023 07:23:57.205,13053.091,13049.519,0.0004,0.0004
07.04.2023 07:23:57.316,13052.761,13049.229,0.0004,0.0012
07.04.2023 07:23:57.367,13052.761,13049.219,0.0004,0.0004
07.04.2023 07:24:00.661,13052.723,13049.339,0.0004,0.0004
07.04.2023 07:24:00.712,13052.831000000002,13049.599,0.0004,0.0004
07.04.2023 07:24:00.822,13052.793000000001,13049.538999999999,0.0004,0.0004
07.04.2023 07:24:00.873,13052.801000000001,13049.618999999999,0.0004,0.0004
07.04.2023 07:24:06.265,13053.073,13049.669,0.0004,0.0004
07.04.2023 07:24:06.315,13053.141000000001,13049.628999999999,0.0004,0.0004
07.04.2023 07:24:07.110,13053.041000000001,13049.646999999999,0.0004,0.0004
07.04.2023 07:24:07.161,13052.991000000002,13049.579,0.0004,0.0004
07.04.2023 07:24:10.451,13053.083,13049.719,0.0004,0.0004
07.04.2023 07:24:10.501,13053.151000000002,13049.659,0.0004,0.0004
07.04.2023 07:24:16.764,13053.143,13049.719,0.0004,0.0004
07.04.2023 07:24:16.814,13053.271,13049.798999999999,0.0004,0.0004
07.04.2023 07:24:17.148,13053.161000000002,13049.726999999999,0.0004,0.0004
07.04.2023 07:24:17.199,13053.171000000002,13049.698999999999,0.0004,0.0004
07.04.2023 07:24:17.312,13053.251000000002,13049.778999999999,0.0004,0.0004
07.04.2023 07:24:32.242,13053.121000000001,13049.717,0.0004,0.0004
07.04.2023 07:24:32.293,13052.911000000002,13049.659,0.0004,0.0004
07.04.2023 07:24:34.095,13053.163,13049.798999999999,0.0004,0.0004
07.04.2023 07:24:34.146,13053.001000000002,13049.819,0.0004,0.0004
07.04.2023 07:24:37.887,13053.081000000002,13049.757,0.0004,0.0004
07.04.2023 07:24:37.938,13053.091,13049.649,0.0004,0.0004
07.04.2023 07:24:38.856,13053.083,13049.759,0.0004,0.0004
07.04.2023 07:24:38.906,13053.231000000002,13049.999,0.0004,0.0004
07.04.2023 07:24:41.489,13053.111,13049.817,0.0004,0.0004
07.04.2023 07:24:41.540,13052.901000000002,13049.649,0.0004,0.0004
07.04.2023 07:24:51.346,13053.123000000001,13050.069,0.0004,0.0004
07.04.2023 07:24:51.397,13053.561000000002,13050.038999999999,0.0004,0.0004
07.04.2023 07:25:00.284,13053.081000000002,13049.639,0.0004,0.0012
07.04.2023 07:25:00.335,13052.901000000002,13049.618999999999,0.0004,0.0004
07.04.2023 07:25:00.725,13052.311000000002,13049.038999999999,0.0004,0.0012
07.04.2023 07:25:00.775,13052.551000000001,13049.038999999999,0.0004,0.0004
07.04.2023 07:25:01.831,13052.313,13049.219,0.0004,0.0004
07.04.2023 07:25:01.881,13052.751000000002,13049.229,0.0004,0.0004
07.04.2023 07:25:02.000,13052.753,13049.419,0.0004,0.0004
07.04.2023 07:25:02.050,13052.831000000002,13049.599,0.0004,0.0004
07.04.2023 07:25:03.803,13052.803,13049.528999999999,0.0004,0.0004
07.04.2023 07:25:03.853,13053.081000000002,13049.569,0.0004,0.0004
07.04.2023 07:25:07.040,13052.831000000002,13049.567,0.0004,0.0004
07.04.2023 07:25:07.090,13052.811000000002,13049.358999999999,0.0004,0.0004
07.04.2023 07:25:07.199,13052.711000000001,13049.377,0.0004,0.0004
07.04.2023 07:25:07.250,13052.721000000001,13049.219,0.0004,0.0004
07.04.2023 07:25:18.278,13052.703000000001,13049.319,0.0004,0.0004
07.04.2023 07:25:18.329,13052.811000000002,13049.319,0.0004,0.0004
07.04.2023 07:25:19.085,13052.781,13049.396999999999,0.0004,0.0004
