Symbol, Date, Open, High, Low, Close, Volume
MCD, 2021-10-27T17:44:00.000Z, 0.8104, 0.8105, 0.81035, 0.8105, -1
MCD, 2021-10-27T17:45:00.000Z, 0.8105, 0.8105, 0.81035, 0.81045, -1
MCD, 2021-10-27T17:46:00.000Z, 0.81045, 0.8105, 0.81045, 0.8105, -1
MCD, 2021-10-27T17:47:00.000Z, 0.8105, 0.8105, 0.8104, 0.8104, -1
MCD, 2021-10-27T17:48:00.000Z, 0.8104, 0.81045, 0.81035, 0.8104, -1
MCD, 2021-10-27T17:49:00.000Z, 0.8104, 0.81045, 0.8104, 0.8104, -1
MCD, 2021-10-27T17:50:00.000Z, 0.8104, 0.81055, 0.8104, 0.81055, -1
MCD, 2021-10-27T17:51:00.000Z, 0.81055, 0.81055, 0.8105, 0.8105, -1
MCD, 2021-10-27T17:52:00.000Z, 0.8105, 0.81055, 0.8105, 0.81055, -1
MCD, 2021-10-27T17:53:00.000Z, 0.81055, 0.81055, 0.8104, 0.81045, -1
MCD, 2021-10-27T17:54:00.000Z, 0.81045, 0.8105, 0.81045, 0.8105, -1
MCD, 2021-10-27T17:55:00.000Z, 0.8105, 0.8106, 0.8105, 0.8105, -1
MCD, 2021-10-27T17:56:00.000Z, 0.8105, 0.8105, 0.8104, 0.81045, -1
MCD, 2021-10-27T17:57:00.000Z, 0.81045, 0.81055, 0.8104, 0.8104, -1
MCD, 2021-10-27T17:58:00.000Z, 0.8104, 0.8105, 0.8104, 0.8105, -1
MCD, 2021-10-27T17:59:00.000Z, 0.8105, 0.81065, 0.81045, 0.8106, -1
MCD, 2021-10-27T18:00:00.000Z, 0.8106, 0.8106, 0.8102, 0.81025, -1
MCD, 2021-10-27T18:01:00.000Z, 0.81025, 0.8103, 0.8102, 0.81025, -1
MCD, 2021-10-27T18:02:00.000Z, 0.81025, 0.81025, 0.8102, 0.81025, -1
MCD, 2021-10-27T18:03:00.000Z, 0.81025, 0.8103, 0.8102, 0.8103, -1
MCD, 2021-10-27T18:04:00.000Z, 0.8103, 0.81045, 0.8102, 0.81035, -1
MCD, 2021-10-27T18:05:00.000Z, 0.81035, 0.81045, 0.81035, 0.8104, -1
MCD, 2021-10-27T18:06:00.000Z, 0.8104, 0.81045, 0.8104, 0.81045, -1
MCD, 2021-10-27T18:07:00.000Z, 0.81045, 0.81045, 0.81035, 0.81035, -1
MCD, 2021-10-27T18:08:00.000Z, 0.81035, 0.81045, 0.81035, 0.81045, -1
MCD, 2021-10-27T18:09:00.000Z, 0.81045, 0.8105, 0.8104, 0.81045, -1
MCD, 2021-10-27T18:10:00.000Z, 0.81045, 0.8105, 0.8104, 0.81045, -1
MCD, 2021-10-27T18:11:00.000Z, 0.81045, 0.8105, 0.8104, 0.8105, -1
MCD, 2021-10-27T18:12:00.000Z, 0.8105, 0.81055, 0.81045, 0.8105, -1
MCD, 2021-10-27T18:13:00.000Z, 0.8105, 0.8106, 0.8105, 0.81055, -1
MCD, 2021-10-27T18:14:00.000Z, 0.81055, 0.8106, 0.81045, 0.81055, -1
MCD, 2021-10-27T18:15:00.000Z, 0.81055, 0.81055, 0.8104, 0.81045, -1
MCD, 2021-10-27T18:16:00.000Z, 0.81045, 0.81045, 0.8104, 0.8104, -1
MCD, 2021-10-27T18:17:00.000Z, 0.8104, 0.8104, 0.8103, 0.8103, -1
MCD, 2021-10-27T18:18:00.000Z, 0.8103, 0.8103, 0.8103, 0.8103, -1
MCD, 2021-10-27T18:19:00.000Z, 0.8103, 0.81035, 0.8103, 0.81035, -1
MCD, 2021-10-27T18:20:00.000Z, 0.81035, 0.8104, 0.81035, 0.81035, -1
MCD, 2021-10-27T18:21:00.000Z, 0.81035, 0.8105, 0.8103, 0.8105, -1
MCD, 2021-10-27T18:22:00.000Z, 0.8105, 0.8105, 0.8103, 0.81035, -1
MCD, 2021-10-27T18:23:00.000Z, 0.81035, 0.8104, 0.8103, 0.8104, -1
MCD, 2021-10-27T18:24:00.000Z, 0.8104, 0.8104, 0.81035, 0.8104, -1
MCD, 2021-10-27T18:25:00.000Z, 0.8104, 0.8104, 0.81035, 0.8104, -1
MCD, 2021-10-27T18:26:00.000Z, 0.8104, 0.8104, 0.8103, 0.81035, -1
MCD, 2021-10-27T18:27:00.000Z, 0.81035, 0.81035, 0.8102, 0.81025, -1
MCD, 2021-10-27T18:28:00.000Z, 0.81025, 0.81025, 0.81015, 0.8102, -1
MCD, 2021-10-27T18:29:00.000Z, 0.8102, 0.81035, 0.8102, 0.8103, -1
MCD, 2021-10-27T18:30:00.000Z, 0.8103, 0.8103, 0.8102, 0.8102, -1
MCD, 2021-10-27T18:31:00.000Z, 0.8102, 0.81025, 0.8101, 0.8101, -1
MCD, 2021-10-27T18:32:00.000Z, 0.8101, 0.8101, 0.8099, 0.80995, -1
MCD, 2021-10-27T18:33:00.000Z, 0.80995, 0.80995, 0.80985, 0.8099, -1
MCD, 2021-10-27T18:34:00.000Z, 0.8099, 0.81, 0.8099, 0.80995, -1
MCD, 2021-10-27T18:35:00.000Z, 0.80995, 0.80995, 0.8098, 0.8098, -1
MCD, 2021-10-27T18:36:00.000Z, 0.8098, 0.8098, 0.80975, 0.80975, -1
MCD, 2021-10-27T18:37:00.000Z, 0.80975, 0.8098, 0.8097, 0.8097, -1
MCD, 2021-10-27T18:38:00.000Z, 0.8097, 0.8098, 0.8097, 0.8098, -1
MCD, 2021-10-27T18:39:00.000Z, 0.8098, 0.8099, 0.8098, 0.8098, -1
MCD, 2021-10-27T18:40:00.000Z, 0.8098, 0.80985, 0.80975, 0.80985, -1
MCD, 2021-10-27T18:41:00.000Z, 0.80985, 0.80985, 0.8098, 0.8098, -1
MCD, 2021-10-27T18:42:00.000Z, 0.8098, 0.81005, 0.8098, 0.81, -1
MCD, 2021-10-27T18:43:00.000Z, 0.81, 0.81005, 0.81, 0.81, -1
MCD, 2021-10-27T18:44:00.000Z, 0.81, 0.81005, 0.81, 0.81005, -1
MCD, 2021-10-27T18:45:00.000Z, 0.81005, 0.8101, 0.8099, 0.80995, -1
MCD, 2021-10-27T18:46:00.000Z, 0.80995, 0.80995, 0.8098, 0.8098, -1
MCD, 2021-10-27T18:47:00.000Z, 0.8098, 0.80985, 0.8098, 0.80985, -1
MCD, 2021-10-27T18:48:00.000Z, 0.80985, 0.80985, 0.80975, 0.8098, -1
MCD, 2021-10-27T18:49:00.000Z, 0.8098, 0.80985, 0.8098, 0.80985, -1
MCD, 2021-10-27T18:50:00.000Z, 0.80985, 0.8099, 0.80975, 0.80975, -1
MCD, 2021-10-27T18:51:00.000Z, 0.80975, 0.8098, 0.80975, 0.80975, -1
MCD, 2021-10-27T18:52:00.000Z, 0.80975, 0.80985, 0.80975, 0.8098, -1
MCD, 2021-10-27T18:53:00.000Z, 0.8098, 0.80985, 0.8098, 0.8098, -1
MCD, 2021-10-27T18:54:00.000Z, 0.8098, 0.80985, 0.8097, 0.80975, -1
MCD, 2021-10-27T18:55:00.000Z, 0.80975, 0.80975, 0.80955, 0.8096, -1
MCD, 2021-10-27T18:56:00.000Z, 0.8096, 0.8097, 0.8096, 0.80965, -1
MCD, 2021-10-27T18:57:00.000Z, 0.80965, 0.8098, 0.8096, 0.8098, -1
MCD, 2021-10-27T18:58:00.000Z, 0.8098, 0.8098, 0.80965, 0.80975, -1
MCD, 2021-10-27T18:59:00.000Z, 0.80975, 0.80985, 0.80975, 0.8098, -1
MCD, 2021-10-27T19:00:00.000Z, 0.8098, 0.8098, 0.8097, 0.8098, -1
MCD, 2021-10-27T19:01:00.000Z, 0.8098, 0.8098, 0.8096, 0.8096, -1
MCD, 2021-10-27T19:02:00.000Z, 0.8096, 0.80965, 0.8095, 0.80955, -1
MCD, 2021-10-27T19:03:00.000Z, 0.80955, 0.8096, 0.8095, 0.8096, -1
MCD, 2021-10-27T19:04:00.000Z, 0.8096, 0.80965, 0.80955, 0.80955, -1
MCD, 2021-10-27T19:05:00.000Z, 0.80955, 0.80955, 0.8095, 0.8095, -1
MCD, 2021-10-27T19:06:00.000Z, 0.8095, 0.80955, 0.80945, 0.8095, -1
MCD, 2021-10-27T19:07:00.000Z, 0.8095, 0.8095, 0.80925, 0.80925, -1
MCD, 2021-10-27T19:08:00.000Z, 0.80925, 0.8094, 0.80925, 0.80935, -1
MCD, 2021-10-27T19:09:00.000Z, 0.80935, 0.8094, 0.8092, 0.8092, -1
MCD, 2021-10-27T19:10:00.000Z, 0.8092, 0.8093, 0.80915, 0.8093, -1
MCD, 2021-10-27T19:11:00.000Z, 0.8093, 0.8093, 0.8092, 0.8092, -1
MCD, 2021-10-27T19:12:00.000Z, 0.8092, 0.80925, 0.8091, 0.8091, -1
MCD, 2021-10-27T19:13:00.000Z, 0.8091, 0.8091, 0.80895, 0.80905, -1
MCD, 2021-10-27T19:14:00.000Z, 0.80905, 0.80915, 0.80905, 0.8091, -1
MCD, 2021-10-27T19:15:00.000Z, 0.8091, 0.8092, 0.8091, 0.8092, -1
MCD, 2021-10-27T19:16:00.000Z, 0.8092, 0.8092, 0.8091, 0.80915, -1
MCD, 2021-10-27T19:17:00.000Z, 0.80915, 0.80925, 0.8091, 0.80915, -1
MCD, 2021-10-27T19:18:00.000Z, 0.80915, 0.80915, 0.8088, 0.80885, -1
MCD, 2021-10-27T19:19:00.000Z, 0.80885, 0.8089, 0.8088, 0.80885, -1
MCD, 2021-10-27T19:20:00.000Z, 0.80885, 0.8089, 0.80875, 0.80885, -1
MCD, 2021-10-27T19:21:00.000Z, 0.80885, 0.8089, 0.80845, 0.80875, -1
MCD, 2021-10-27T19:22:00.000Z, 0.80875, 0.80875, 0.80855, 0.80875, -1
MCD, 2021-10-27T19:23:00.000Z, 0.80875, 0.80875, 0.8087, 0.80875, -1
MCD, 2021-10-27T19:24:00.000Z, 0.80875, 0.80885, 0.80865, 0.80865, -1
MCD, 2021-10-27T19:25:00.000Z, 0.80865, 0.80885, 0.8086, 0.8088, -1
MCD, 2021-10-27T19:26:00.000Z, 0.8088, 0.8089, 0.8087, 0.8088, -1
MCD, 2021-10-27T19:27:00.000Z, 0.8088, 0.8089, 0.80875, 0.8088, -1
MCD, 2021-10-27T19:28:00.000Z, 0.8088, 0.8088, 0.80855, 0.80865, -1
MCD, 2021-10-27T19:29:00.000Z, 0.80865, 0.8089, 0.80865, 0.80885, -1
MCD, 2021-10-27T19:30:00.000Z, 0.80885, 0.8089, 0.80875, 0.8088, -1
