Gmt time,Open,High,Low,Close,Volume
22.04.2021 19:00:00.000,0.91818,0.91833,0.91722,0.91732,2556.0901
22.04.2021 20:00:00.000,0.91732,0.91745,0.91651,0.91651,852.52
22.04.2021 21:00:00.000,0.91643,0.91719,0.91642,0.91683,2281.4299
22.04.2021 22:00:00.000,0.91687,0.91711,0.91672,0.91709,542.54
22.04.2021 23:00:00.000,0.91709,0.91720,0.91690,0.91713,592.13
23.04.2021 00:00:00.000,0.91713,0.91717,0.91662,0.91665,1434.55
23.04.2021 01:00:00.000,0.91668,0.91686,0.91642,0.91647,1788.11
23.04.2021 02:00:00.000,0.91647,0.91706,0.91643,0.91697,1420.02
23.04.2021 03:00:00.000,0.91697,0.91720,0.91695,0.91704,1283.86
23.04.2021 04:00:00.000,0.91705,0.91714,0.91660,0.91668,1066.63
23.04.2021 05:00:00.000,0.91667,0.91677,0.91650,0.91653,1216.15
23.04.2021 06:00:00.000,0.91652,0.91730,0.91634,0.91671,2216.05
23.04.2021 07:00:00.000,0.91672,0.91679,0.91568,0.91609,4627.1602
23.04.2021 08:00:00.000,0.91607,0.91672,0.91518,0.91531,3258.4199
23.04.2021 09:00:00.000,0.91531,0.91563,0.91419,0.91453,2778.1299
23.04.2021 10:00:00.000,0.91453,0.91551,0.91436,0.91483,2250.1001
23.04.2021 11:00:00.000,0.91483,0.91566,0.91474,0.91501,2434
23.04.2021 12:00:00.000,0.91498,0.91504,0.91438,0.91471,4409.48
23.04.2021 13:00:00.000,0.91471,0.91604,0.91438,0.91592,5131.3799
23.04.2021 14:00:00.000,0.91592,0.91720,0.91509,0.91671,6306.46
23.04.2021 15:00:00.000,0.91673,0.91678,0.91502,0.91521,3877.49
23.04.2021 16:00:00.000,0.91520,0.91520,0.91434,0.91441,1796.67
23.04.2021 17:00:00.000,0.91443,0.91469,0.91410,0.91419,1720.49
23.04.2021 18:00:00.000,0.91418,0.91420,0.91334,0.91343,1276.28
23.04.2021 19:00:00.000,0.91344,0.91345,0.91275,0.91322,1133.62
23.04.2021 20:00:00.000,0.91321,0.91376,0.91308,0.91348,1074.64
23.04.2021 21:00:00.000,0.91348,0.91348,0.91348,0.91348,0
23.04.2021 22:00:00.000,0.91348,0.91348,0.91348,0.91348,0
23.04.2021 23:00:00.000,0.91348,0.91348,0.91348,0.91348,0
24.04.2021 00:00:00.000,0.91348,0.91348,0.91348,0.91348,0
24.04.2021 01:00:00.000,0.91348,0.91348,0.91348,0.91348,0
24.04.2021 02:00:00.000,0.91348,0.91348,0.91348,0.91348,0
24.04.2021 03:00:00.000,0.91348,0.91348,0.91348,0.91348,0
24.04.2021 04:00:00.000,0.91348,0.91348,0.91348,0.91348,0
24.04.2021 05:00:00.000,0.91348,0.91348,0.91348,0.91348,0
24.04.2021 06:00:00.000,0.91348,0.91348,0.91348,0.91348,0
24.04.2021 07:00:00.000,0.91348,0.91348,0.91348,0.91348,0
24.04.2021 08:00:00.000,0.91348,0.91348,0.91348,0.91348,0
24.04.2021 09:00:00.000,0.91348,0.91348,0.91348,0.91348,0
24.04.2021 10:00:00.000,0.91348,0.91348,0.91348,0.91348,0
24.04.2021 11:00:00.000,0.91348,0.91348,0.91348,0.91348,0
24.04.2021 12:00:00.000,0.91348,0.91348,0.91348,0.91348,0
24.04.2021 13:00:00.000,0.91348,0.91348,0.91348,0.91348,0
24.04.2021 14:00:00.000,0.91348,0.91348,0.91348,0.91348,0
24.04.2021 15:00:00.000,0.91348,0.91348,0.91348,0.91348,0
24.04.2021 16:00:00.000,0.91348,0.91348,0.91348,0.91348,0
24.04.2021 17:00:00.000,0.91348,0.91348,0.91348,0.91348,0
24.04.2021 18:00:00.000,0.91348,0.91348,0.91348,0.91348,0
24.04.2021 19:00:00.000,0.91348,0.91348,0.91348,0.91348,0
24.04.2021 20:00:00.000,0.91348,0.91348,0.91348,0.91348,0
24.04.2021 21:00:00.000,0.91348,0.91348,0.91348,0.91348,0
24.04.2021 22:00:00.000,0.91348,0.91348,0.91348,0.91348,0
24.04.2021 23:00:00.000,0.91348,0.91348,0.91348,0.91348,0
25.04.2021 00:00:00.000,0.91348,0.91348,0.91348,0.91348,0
25.04.2021 01:00:00.000,0.91348,0.91348,0.91348,0.91348,0
25.04.2021 02:00:00.000,0.91348,0.91348,0.91348,0.91348,0
25.04.2021 03:00:00.000,0.91348,0.91348,0.91348,0.91348,0
25.04.2021 04:00:00.000,0.91348,0.91348,0.91348,0.91348,0
25.04.2021 05:00:00.000,0.91348,0.91348,0.91348,0.91348,0
25.04.2021 06:00:00.000,0.91348,0.91348,0.91348,0.91348,0
25.04.2021 07:00:00.000,0.91348,0.91348,0.91348,0.91348,0
25.04.2021 08:00:00.000,0.91348,0.91348,0.91348,0.91348,0
25.04.2021 09:00:00.000,0.91348,0.91348,0.91348,0.91348,0
25.04.2021 10:00:00.000,0.91348,0.91348,0.91348,0.91348,0
25.04.2021 11:00:00.000,0.91348,0.91348,0.91348,0.91348,0
25.04.2021 12:00:00.000,0.91348,0.91348,0.91348,0.91348,0
25.04.2021 13:00:00.000,0.91348,0.91348,0.91348,0.91348,0
25.04.2021 14:00:00.000,0.91348,0.91348,0.91348,0.91348,0
25.04.2021 15:00:00.000,0.91348,0.91348,0.91348,0.91348,0
25.04.2021 16:00:00.000,0.91348,0.91348,0.91348,0.91348,0
25.04.2021 17:00:00.000,0.91348,0.91348,0.91348,0.91348,0
25.04.2021 18:00:00.000,0.91348,0.91348,0.91348,0.91348,0
25.04.2021 19:00:00.000,0.91348,0.91348,0.91348,0.91348,0
25.04.2021 20:00:00.000,0.91348,0.91348,0.91348,0.91348,0
25.04.2021 21:00:00.000,0.91303,0.91381,0.91303,0.91329,181.79
25.04.2021 22:00:00.000,0.91328,0.91375,0.91326,0.91365,875.61
25.04.2021 23:00:00.000,0.91366,0.91397,0.91343,0.91395,1111.38
26.04.2021 00:00:00.000,0.91395,0.91397,0.91305,0.91344,2519.49
