Date,Open,High,Low,Close,Volume
01/30/2014,125.5625,125.6406,125.1875,125.4531,1335139
01/29/2014,124.8438,125.7344,124.7188,125.625,1927074
01/28/2014,124.9844,125.125,124.6562,125.0781,1175724
01/27/2014,125.2031,125.2969,124.8125,124.8125,1226290
01/24/2014,124.7188,125.5,124.6719,125.0625,1812468
01/23/2014,123.9062,124.9062,123.8438,124.7812,1594155
01/22/2014,124.3125,124.375,123.8906,123.9688,841214
01/21/2014,124.4688,124.5781,124,124.375,823190
01/20/2014,124.4219,124.4219,124.4219,124.4219,0
01/17/2014,124.2969,124.5,124.1562,124.4219,676312
01/16/2014,123.9219,124.375,123.8594,124.2656,821027
01/15/2014,123.9375,123.9688,123.9688,123.9688,0
01/14/2014,124.5625,124.5781,124.1094,124.1719,806405
01/13/2014,124.2656,124.6406,124.2344,124.5781,743880
01/10/2014,123.3125,124.3594,123.2656,124.2969,1603101
01/09/2014,123.125,123.3594,123.0156,123.3281,999386
01/08/2014,123.6094,123.6094,123,123.1094,1150817
01/07/2014,123.4844,123.6875,123.4062,123.6875,679925
01/06/2014,123.0938,123.5938,122.9375,123.4688,649932
01/03/2014,123.1562,123.3906,123.0469,123.1719,508625
01/02/2014,122.7969,123.2812,122.7812,123.2188,578370
01/01/2014,123.0469,123.0469,123.0469,123.0469,0
12/31/2013,123.2344,123.2812,122.7656,123.0469,344062
12/30/2013,123.0312,123.2812,122.8438,123.2188,339124
12/27/2013,123.0156,123.2188,122.8281,122.9844,366033
12/26/2013,123.0625,123.0938,122.9062,122.9844,123298
12/25/2013,123.0469,123.0469,123.0469,123.0469,0
12/24/2013,123.4375,123.5469,123,123.0469,187802
12/23/2013,123.7188,123.75,123.4062,123.4375,370242
12/20/2013,123.6875,123.875,123.2656,123.7344,839046
12/19/2013,124.1406,124.25,123.4219,123.6562,1211295
12/18/2013,124.5469,124.75,123.7812,124.2969,1241353
12/17/2013,124.2031,124.6094,124.1719,124.5469,634021
12/16/2013,124.2969,124.5,124.1406,124.2344,617831
12/13/2013,124.2344,124.4062,124.125,124.2656,606411
12/12/2013,124.4062,124.5469,124.1094,124.25,1004076
12/11/2013,124.75,124.8281,124.375,124.5156,859790
12/10/2013,124.4531,124.9375,124.3906,124.875,965064
12/09/2013,124.4531,124.4688,124.4062,124.4375,2264
12/06/2013,124.2656,124.5781,123.75,124.2188,1623057
12/05/2013,124.2656,124.2812,124.2188,124.2656,7212
12/04/2013,124.6406,124.6562,124.5781,124.6094,6034
12/03/2013,125.0625,125.0938,125.0156,125.0938,4528
12/02/2013,124.9219,124.9375,124.8594,124.875,4369
11/29/2013,125.4375,125.4531,125.1875,125.375,610415
11/28/2013,126.75,126.75,126.75,126.75,0
11/27/2013,126.6719,126.6719,126.6094,126.75,2707
11/26/2013,126.9375,126.9688,126.9062,126.9219,2179
11/25/2013,126.7656,126.9844,126.75,126.875,31077
11/22/2013,126.3906,126.6406,126.2812,126.5781,905423
11/21/2013,126.3906,126.4375,126.375,126.3906,3658
11/20/2013,126.2812,126.2969,126.125,126.1875,16525
11/19/2013,126.7344,126.8906,126.7188,126.8281,14945
11/18/2013,127.0938,127.1094,127.0625,127.0938,3242
11/15/2013,126.8906,126.9688,126.5781,126.7656,656932
11/14/2013,126.8906,126.9688,126.8906,126.9219,6168
11/13/2013,126.6719,126.7344,126.6562,126.7344,13390
11/12/2013,125.8906,125.9062,125.8594,125.8906,4282
11/11/2013,126.0156,126.0625,126,126,5832
11/08/2013,127.1875,127.7031,125.9531,126.1094,1533847
11/07/2013,127.1875,127.2031,127.1562,127.1875,4729
11/06/2013,126.9062,126.9219,126.8906,126.9062,2836
11/05/2013,126.5469,126.5781,126.5156,126.5469,9726
11/04/2013,126.9375,126.9844,126.9219,126.9688,3115
11/01/2013,127.2344,127.2812,126.6875,126.7812,1045701
10/31/2013,127.2344,127.2812,127.2344,127.25,4509
10/30/2013,127.4688,127.5156,127.4219,127.4375,7108
10/29/2013,127.6875,127.7188,127.6719,127.7031,1987
10/28/2013,127.5156,127.5938,127.5,127.5469,4272
10/25/2013,127.4062,127.6719,127.3438,127.6094,583139
10/24/2013,127.4062,127.4219,127.3438,127.375,9116
10/23/2013,127.5469,127.5781,127.5312,127.5625,4241
10/22/2013,127.4688,127.5781,127.4688,127.5625,7956
10/21/2013,126.7656,126.7812,126.75,126.7656,1529
10/18/2013,126.8906,127.3594,126.8125,126.8906,947783
10/17/2013,126.8906,126.9219,126.875,126.875,3263
10/16/2013,126.2969,126.3125,126.2344,126.2812,6336
10/15/2013,125.7812,125.8906,125.75,125.875,7553
10/14/2013,125.7656,125.7812,125.7344,125.7656,3501
10/11/2013,126.0156,126.4062,125.9375,126.1094,827415
10/10/2013,126.0156,126.2969,126,126.1562,25092
10/09/2013,126.1562,126.1875,126.1406,126.1562,3950
10/08/2013,126.2656,126.4844,126.25,126.4531,14688
10/07/2013,126.3281,126.3594,126.3125,126.3438,2054
10/04/2013,126.5938,126.6406,126.125,126.1875,732236
10/03/2013,126.5938,126.6406,126.5938,126.6094,2763
10/02/2013,126.4375,126.5156,126.3438,126.4844,7675
10/01/2013,126.0156,126.0312,125.9531,125.9688,8255
09/30/2013,126.4219,126.4375,126.3594,126.4375,3211
09/27/2013,126.0156,126.4844,125.9062,126.3438,818374
09/26/2013,126.0156,126.0312,125.9531,126.0156,5057
09/25/2013,126.1406,126.1719,126.0938,126.125,5298
09/24/2013,125.8594,125.9375,125.8438,125.9219,3766
09/23/2013,125.5312,125.5625,125.5,125.5625,1827
09/20/2013,125.1406,125.4375,124.9219,125.2969,871729
09/19/2013,125.1406,125.25,125.1094,125.1875,8336
09/18/2013,125.6875,125.7344,125.6094,125.6875,17569
09/17/2013,124.1562,124.1562,124.1406,124.1562,510
09/16/2013,124.0312,124.0781,123.9844,124.0625,5849
09/13/2013,123.375,123.6875,122.9375,123.5469,970287
09/12/2013,123.375,123.4062,123.3594,123.375,3277
09/11/2013,123.3906,123.4375,123.3594,123.4062,2885
09/10/2013,122.8438,122.8594,122.7969,122.8438,4098
09/09/2013,123.1875,123.2344,123.1875,123.2188,1972
09/06/2013,122.2969,123.6406,122.2188,122.9375,1655672
09/05/2013,122.2969,122.3438,122.2656,122.3438,2820
09/04/2013,123.0938,123.1094,123.0156,123.0625,5279
09/03/2013,123.5312,123.5312,123.4062,123.4531,4297
09/02/2013,124.2812,124.2812,124.2812,124.2812,0
08/30/2013,124.2969,124.4688,123.9844,124.2812,1213158
08/29/2013,124.2969,124.2969,124.1719,124.2031,6654
08/28/2013,125.375,125.3906,125.2812,125.3125,2924
08/27/2013,125.75,125.7656,125.7188,125.75,4675
08/26/2013,125.1562,125.2188,125.1094,125.125,4607
08/23/2013,124.3906,125.0469,124,124.8594,1413667
08/22/2013,124.3906,124.4062,124.2969,124.2969,4490
08/21/2013,124.4688,124.5156,124.3906,124.3906,10230
08/20/2013,125.1562,125.1562,125.1094,125.1094,2286
08/19/2013,124.6562,124.7031,124.6562,124.6875,2822
08/16/2013,125.4219,125.4688,124.6562,124.9844,1121805
08/15/2013,125.4219,125.4688,125.3906,125.4219,4276
08/14/2013,125.7969,125.8281,125.7656,125.8125,2759
08/13/2013,125.6719,125.6719,125.5938,125.6406,5476
08/12/2013,126.5156,126.5156,126.4375,126.4531,4501
08/09/2013,126.75,126.875,126.6406,126.8125,499716
08/08/2013,126.75,126.7812,126.7344,126.75,2397
08/07/2013,126.6406,126.7031,126.6406,126.6875,3961
08/06/2013,126.3594,126.375,126.3438,126.3594,1316
08/05/2013,126.375,126.4375,126.3594,126.4062,1742
08/02/2013,125.7656,126.625,125.1562,126.5781,1489782
08/01/2013,125.5,125.5,125.3438,125.3594,9389
07/31/2013,126.5,126.5469,126.4844,126.5312,3984
07/30/2013,126.4062,126.4219,126.3906,126.3906,2390
07/29/2013,126.4375,126.4844,126.4219,126.4375,1772
07/26/2013,126.5938,126.8125,126.4531,126.6875,672246
07/25/2013,126.5938,126.625,126.5625,126.5625,3083
07/24/2013,126.4375,126.4531,126.3438,126.3594,3493
07/23/2013,127.0312,127.0312,127,127.0312,1425
07/22/2013,127.2031,127.2031,127.1406,127.1562,1433
07/19/2013,126.7812,127.1562,126.7031,127.0938,626805
07/18/2013,126.7812,126.7969,126.7812,126.7812,1966
07/17/2013,126.9844,127.0938,126.9844,127.0781,3609
07/16/2013,126.5781,126.5781,126.5156,126.5156,2510
07/15/2013,126.5938,126.6094,126.5625,126.5938,2741
07/12/2013,126.25,126.7969,126.0625,126.0938,942272
07/11/2013,126.25,126.375,126.25,126.3438,3210
07/10/2013,125.875,126.5,125.8438,126.4375,69878
07/09/2013,125.4688,125.4844,125.4375,125.4688,1119
